Виктория;5350;-0.73;10.08;34.51;9.81;-0.02;0.16;0.79;
Виктория;5440;-0.26;10.08;34.51;9.81;-0.02;0.16;0.79;
Виктория;5540;-0.06;10.08;34.50;9.81;-0.02;0.16;0.79;
Виктория;5640;-0.36;10.08;34.51;9.81;-0.02;0.16;0.79;
Виктория;5740;-0.28;10.08;34.50;9.81;-0.02;0.16;0.79;
Виктория;5839;-0.64;10.08;34.51;9.81;-0.02;0.16;0.79;
Виктория;5940;-0.30;10.08;34.49;9.81;-0.02;0.16;0.79;
Виктория;6039;-0.27;10.08;34.49;9.81;-0.02;0.17;0.79;
Виктория;6139;-0.33;10.08;34.49;9.81;-0.02;0.16;0.79;
Виктория;6239;-0.51;10.08;34.49;9.81;-0.02;0.16;0.79;
Виктория;6339;-0.60;10.08;34.48;9.81;-0.02;0.16;0.79;
Виктория;6438;-0.64;10.08;34.48;9.81;-0.02;0.16;0.79;
Виктория;6539;-0.78;10.08;34.47;9.81;-0.02;0.16;0.79;
Виктория;6638;-0.92;10.08;34.46;9.81;-0.02;0.16;0.79;
Виктория;6738;-0.35;10.08;34.45;9.81;-0.01;0.16;0.79;
Виктория;6838;-0.63;10.08;34.44;9.81;-0.02;0.16;0.79;
Виктория;6938;-0.78;10.08;34.43;9.81;-0.02;0.16;0.79;
Виктория;7037;-0.24;10.08;34.41;9.81;-0.02;0.16;0.79;
Виктория;7138;-0.66;10.08;34.42;9.81;-0.02;0.16;0.79;
Виктория;7237;-0.57;10.08;34.41;9.81;-0.02;0.16;0.79;
Виктория;7337;-0.56;10.08;34.39;9.81;-0.02;0.16;0.79;
Виктория;7437;-0.73;10.08;34.38;9.81;-0.02;0.16;0.79;
Виктория;7537;-0.65;10.08;34.37;9.81;-0.02;0.16;0.79;
Виктория;7636;-0.53;10.08;34.34;9.81;-0.02;0.16;0.79;
Виктория;7737;-0.49;10.08;34.34;9.81;-0.02;0.16;0.79;
Виктория;7836;-0.67;10.08;34.34;9.81;-0.02;0.16;0.79;
Виктория;7937;-0.60;10.08;34.32;9.81;-0.02;0.16;0.79;
Виктория;8036;-0.99;10.08;34.31;9.81;-0.02;0.16;0.79;
Виктория;8136;-0.43;10.08;34.29;9.81;-0.02;0.16;0.79;
Виктория;8236;-0.26;10.08;34.29;9.81;-0.02;0.16;0.79;
Виктория;8336;-0.45;10.08;34.29;9.81;-0.02;0.16;0.79;
Виктория;8435;-0.29;10.08;34.29;9.81;-0.02;0.16;0.79;
Виктория;8536;-0.33;10.08;34.27;9.81;-0.02;0.16;0.79;
Виктория;8635;-0.69;10.08;34.27;9.81;-0.02;0.16;0.79;
Виктория;8735;-0.73;10.08;34.27;9.81;-0.02;0.16;0.79;
Виктория;8835;-1.01;10.08;34.26;9.81;-0.02;0.16;0.79;
Виктория;8935;-0.56;10.08;34.24;9.81;-0.02;0.16;0.79;
Виктория;9034;-0.52;10.08;34.24;9.81;-0.02;0.16;0.79;
Виктория;9135;-0.58;10.08;34.23;9.81;-0.02;0.16;0.78;
Виктория;9234;-1.05;10.08;34.23;9.81;-0.02;0.16;0.79;
Виктория;9334;-0.32;10.08;34.23;9.81;-0.02;0.16;0.79;
Виктория;9434;-0.87;10.08;34.23;9.81;-0.02;0.16;0.79;
